  dataset       zr a_neutralt1_angryt2_late v_neutralt1_angryt2_late t0_neutralt1_angryt2_late        d a_absent_neutralt2_late v_absent_neutralt2_late t0_absent_neutralt2_late a_neutralt1_angryt2_early v_neutralt1_angryt2_early t0_neutralt1_angryt2_early a_angryt1_angryt2_early v_angryt1_angryt2_early t0_angryt1_angryt2_early a_absent_angryt2_early v_absent_angryt2_early t0_absent_angryt2_early a_angryt1_neutralt2_early v_angryt1_neutralt2_early t0_angryt1_neutralt2_early a_angryt1_neutralt2_late v_angryt1_neutralt2_late t0_angryt1_neutralt2_late a_absent_neutralt2_early v_absent_neutralt2_early t0_absent_neutralt2_early a_angryt1_angryt2_late v_angryt1_angryt2_late t0_angryt1_angryt2_late a_neutralt1_neutralt2_late v_neutralt1_neutralt2_late t0_neutralt1_neutralt2_late a_absent_angryt2_late v_absent_angryt2_late t0_absent_angryt2_late a_neutralt1_neutralt2_early v_neutralt1_neutralt2_early t0_neutralt1_neutralt2_early  penalty      fit     time   method
      143   0.4743   1.7780   1.6755   0.1847   0.0412   1.2141   1.5337   0.2832   1.2441   1.2721   0.2240   1.0672   1.1334   0.2597   1.1108   2.1082   0.3056   1.3341   1.1155   0.1849   1.4276   1.1724   0.1910   1.6804   1.3678   0.1663   1.3901   1.5016   0.1569   1.1110   1.4056   0.2931   1.5647   1.0418   0.2684   1.2471   0.7058   0.2298   0.0000 127.9137   0.5830       ML
      145   0.5750   1.9478   0.7642   0.2295  -0.0401   2.1547   0.7072   0.4381   2.1819   0.5134   0.1983   2.0303   0.6776   0.2183   1.7842   1.2590   0.2629   1.9505   0.2303   0.1715   2.0519   0.1368   0.2119   2.0497   0.4175   0.2430   2.4473   0.9180   0.1972   2.2152   0.4015   0.2279   2.7931   1.1482   0.2343   2.2966   0.4808   0.2005   0.0000 729.3442   0.6150       ML
      147   0.5634   0.8749   0.7432   0.2822  -0.0151   1.0248   0.9969   0.2870   0.9389   1.3039   0.2487   1.0396   0.9298   0.1952   1.0373   1.8252   0.2679   0.9152   0.6304   0.2511   1.0730   1.0233   0.2240   1.0177   1.5805   0.2988   0.9719   1.1633   0.2535   1.0310   2.7510   0.2521   1.0857   0.9387   0.2916   1.0547   0.7906   0.2088   0.0000 -144.4591   0.6210       ML
      148   0.4930   1.6902   0.8562   0.2072   0.0658   1.8044   1.0808   0.4648   1.4293   1.0096   0.1596   1.4542   0.8140   0.2169   1.5865   0.6290   0.3607   1.6335   0.6938   0.1912   1.8678   1.3993   0.2167   1.7184   1.2996   0.3358   1.6602   1.7653   0.2178   1.9992   1.2575   0.1011   1.4608   1.3237   0.5047   1.7230   0.7404   0.0857   0.0000 385.7686   0.6550       ML
      149   0.4535   1.6154   0.6384   0.1208   0.0808   1.5778   1.1030   0.2976   1.4295   0.5475   0.1505   1.3769   0.8852   0.1906   1.5655   0.9329   0.1650   1.5510   0.6226   0.0914   1.7809   0.8522   0.1268   1.7476   1.0887   0.1240   1.6632   0.8292   0.1035   1.9564   0.8317   0.0992   2.0952   1.5701   0.1968   1.5804   0.6765   0.1016   0.0000 472.0905   0.5220       ML
      150   0.5057   0.9650   1.7142   0.2575  -0.0009   1.2979   1.1592   0.3033   1.2804   1.6937   0.1264   1.0585   1.0169   0.1805   1.4057   0.2470   0.2250   1.1710   0.4376   0.1317   1.1452   1.3968   0.2031   1.2832   0.3653   0.3260   1.1801   1.3874   0.1609   1.0553   1.7290   0.2424   1.2225   0.6879   0.3083   1.2865   0.8599   0.1258   0.0000  73.5773   0.4420       ML
      151   0.5080   1.7955   0.7291   0.3538   0.0330   1.8825   0.6725   0.3610   1.6038   0.4624   0.3092   1.5246   0.3796   0.3376   1.8071   1.1527   0.3566   1.6914   0.4640   0.2869   1.8562   0.8705   0.3453   1.4696   0.9432   0.4064   1.7668   0.7533   0.3559   1.6056   0.5917   0.3849   1.6727   0.5133   0.3804   1.7269   0.4471   0.3380   0.0000 561.3061   0.4920       ML
      152   0.4690   1.9366   1.0088   0.3784   0.0715   2.2712   0.7742   0.3349   1.8884   0.5271   0.2983   2.0604   0.7406   0.2713   2.1693   1.4451   0.4425   1.8438   0.3587   0.3064   1.8759   0.8392   0.3707   1.9503   0.5282   0.2851   2.3147   0.9621   0.2729   2.1773   1.1002   0.3190   2.1371   0.9695   0.3956   1.8879   0.7500   0.3030   0.0000 665.8482   0.5330       ML
      153   0.4819   2.0139   0.8954   0.4571   0.1033   2.0340   1.0220   0.6870   1.9451   0.1656   0.3858   2.0316   0.2255   0.2829   2.3246   1.2715   0.4276   1.7735   0.1987   0.4193   1.6703   0.7519   0.5331   1.8516   0.6645   0.4602   1.8196   0.9316   0.4768   2.0890   0.8022   0.3821   1.9947   1.3585   0.5030   1.8859   0.3593   0.3314   0.0000 684.8198   0.4220       ML
      154   0.5955   1.5186   1.5381   0.2329  -0.0304   1.7398   0.8636   0.2204   1.1152   0.8302   0.2597   1.0925   0.8462   0.2587   1.0364   1.0710   0.2812   1.5481   0.3902   0.1144   1.5576   1.2315   0.1892   1.2722   1.0965   0.2711   1.9075   1.3212   0.1260   1.6638   1.8524   0.2141   1.3610   1.1714   0.2817   1.4463   0.9998   0.1581   0.0000 112.3700   0.5190       ML
