  dataset       zr a_angryt1_neutralt2_early v_angryt1_neutralt2_early t0_angryt1_neutralt2_early        d a_angryt1_angryt2_early v_angryt1_angryt2_early t0_angryt1_angryt2_early a_neutralt1_angryt2_early v_neutralt1_angryt2_early t0_neutralt1_angryt2_early a_absent_neutralt2_late v_absent_neutralt2_late t0_absent_neutralt2_late a_neutralt1_angryt2_late v_neutralt1_angryt2_late t0_neutralt1_angryt2_late a_neutralt1_neutralt2_early v_neutralt1_neutralt2_early t0_neutralt1_neutralt2_early a_angryt1_neutralt2_late v_angryt1_neutralt2_late t0_angryt1_neutralt2_late a_neutralt1_neutralt2_late v_neutralt1_neutralt2_late t0_neutralt1_neutralt2_late a_absent_neutralt2_early v_absent_neutralt2_early t0_absent_neutralt2_early a_absent_angryt2_late v_absent_angryt2_late t0_absent_angryt2_late a_absent_angryt2_early v_absent_angryt2_early t0_absent_angryt2_early a_angryt1_angryt2_late v_angryt1_angryt2_late t0_angryt1_angryt2_late  penalty      fit     time   method
      102   0.4594   1.7679   0.3642   0.2081   0.0017   1.8636   0.5595   0.1895   1.6383   0.3495   0.2569   1.4461   0.1739   0.3948   1.9256   0.5071   0.2666   1.7349   0.3606   0.2758   1.7969   0.6772   0.3009   1.5897   0.4799   0.3635   2.0393   0.6832   0.1571   1.5545   0.7845   0.5060   1.5904   1.0313   0.2892   1.9076   1.1184   0.3488   0.0000 648.3684   0.6520       ML
      103   0.4809   1.3693   0.7724   0.2221   0.0760   1.3542   1.0065   0.1841   1.4180   1.0588   0.1798   1.6055   1.6457   0.2628   1.3820   1.2905   0.2856   1.3445   0.7485   0.1951   1.6363   1.1270   0.2802   1.7526   1.1457   0.1923   1.7108   1.1559   0.1496   2.0986   1.4922   0.1753   1.8971   1.8705   0.1651   1.7402   1.4434   0.1823   0.0000 281.5890   0.5400       ML
      104   0.5342   1.7170   0.0594   0.2455   0.0142   1.7271   0.3844   0.2665   1.7864   0.1018   0.1834   2.0699   1.0525   0.3510   1.6679   0.5756   0.1993   1.6472   0.1293   0.2695   1.7952   0.6601   0.1553   1.5529   0.4792   0.3014   1.8688   0.6721   0.2898   1.8121   0.8899   0.3851   1.8879   0.4812   0.2996   1.7993   0.8758   0.1656   0.0000 629.4661   0.5990       ML
      105   0.5106   2.1829   0.1217   0.2920  -0.0095   1.9571   0.3011   0.3687   1.9847   0.4473   0.3342   2.3986   0.9703   0.3125   2.1547   0.7973   0.4232   1.9948   0.3601   0.3151   1.9339   0.3320   0.5078   1.9889   0.6934   0.3968   2.0206   0.5220   0.3410   2.8254   0.9020   0.2811   2.0713   0.3192   0.2899   2.3232   0.7527   0.3640   0.0000 816.8522   0.5270       ML
      106   0.5117   1.3449   0.2316   0.2309   0.0219   1.5819   0.7331   0.1364   1.5183   0.4764   0.1626   1.6435   1.2524   0.3196   1.4054   1.1876   0.2775   1.3615   0.5202   0.2282   1.7661   0.9494   0.1451   1.5361   0.6517   0.2162   1.4037   0.3430   0.3425   1.6476   0.5208   0.3210   1.4857   0.4507   0.2403   1.6252   1.0083   0.1997   0.0000 442.0451   0.6440       ML
      107   0.5618   1.6294   0.2338   0.2742  -0.0320   1.7552   0.3589   0.2440   1.7086   0.4032   0.2735   1.8345   0.2876   0.3444   2.1745   0.4362   0.2074   1.7856   0.2993   0.2673   1.8904   0.2081   0.2775   1.8141   0.0614   0.2965   2.1349   0.4474   0.2472   1.8805   0.8549   0.3021   1.6010   0.3152   0.2982   1.8407   0.0428   0.2980   0.0000 730.3050   0.6060       ML
      108   0.4667   1.9356   0.1788   0.3817   0.0737   2.0019   0.3664   0.4768   1.9412   0.4382   0.3926   1.9113   0.5233   0.4086   2.0986   0.5823   0.4172   1.8831   0.3651   0.4217   1.8692   0.3019   0.5210   1.9452   0.3478   0.4597   2.1574   0.6299   0.3683   2.2210   1.0146   0.3436   2.0784   0.9597   0.3577   1.9125   0.4942   0.3839   0.0000 796.6359   0.6220       ML
      110   0.5554   1.9878   0.3775   0.1250   0.0028   1.9452   0.5814   0.0846   1.8787   0.6721   0.1698   2.3795   0.9292   0.2734   2.5236   1.1700   0.1017   1.8362   0.6169   0.2003   1.9600   0.9984   0.2768   2.2514   0.8578   0.1871   1.9512   0.5209   0.2625   2.8735   1.1471   0.2746   2.7159   1.3853   0.1483   2.3549   0.9002   0.1553   0.0000 626.7590   0.5140       ML
      111   0.6089   1.1379   0.3187   0.2631  -0.0417   0.9241   0.7923   0.2723   1.1910   0.5283   0.2524   1.5264   1.4309   0.3427   1.6075   1.3161   0.1247   1.1481   0.5612   0.2473   1.6288   1.5380   0.1530   1.5212   2.5722   0.2580   1.4374   0.5071   0.2729   1.4796   2.0427   0.2948   1.5701   0.5015   0.2650   1.5134   1.7534   0.2373   0.0000  46.0996   0.6780       ML
      112   0.4866   1.8881   0.1045   0.1316   0.0186   1.7405   0.4501   0.1660   1.7637   0.2830   0.2085   1.7706   1.0851   0.3818   1.7842   0.5245   0.2448   1.6886   0.2836   0.2719   1.8411   0.7342   0.2548   1.7829   0.8268   0.3165   1.9425   0.5987   0.1130   1.7775   0.7909   0.3319   1.9272   0.8566   0.2324   1.6070   0.6178   0.2936   0.0000 664.6537   0.3270       ML
      113   0.5017   1.3354   0.6275   0.1890   0.0072   1.5134   0.4922   0.1667   1.4054   0.6003   0.1774   1.6206   1.0079   0.2530   1.8006   0.7589   0.1059   1.6310   0.4072   0.1452   1.6135   0.8098   0.2196   1.5685   0.4824   0.2177   1.5454   0.1494   0.1467   1.2076   0.8358   0.3186   1.7249   0.7313   0.0883   1.5746   0.7252   0.1929   0.0000 476.0035   0.2440       ML
      114   0.5267   1.5464   0.5712   0.3413   0.0224   1.8119   0.7592   0.3015   1.7762   0.7595   0.3499   1.6962   0.2417   0.5839   1.9364   0.5958   0.3061   1.7833   0.4013   0.2986   2.0157   0.2347   0.3383   1.7868   0.6458   0.3993   1.7325   1.1169   0.4743   1.9175   1.1413   0.6311   1.6751   0.8608   0.4595   1.9919   0.5559   0.3095   0.0000 609.1923   0.6290       ML
