Subject	Session	Age	Handedness	Sex	vision	langue.RESP	condition[Block]	color[Block]	target[Block]	Target.RT[Block]	condition[LogLevel5]	Running[LogLevel5]	color[LogLevel5]	target[LogLevel5]	congruence	Target.RT[LogLevel5]	Accuracy	Type d'erreur
1	1	21	right	female	normal	1	Training	yellow	clavier	768	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	88,41,0	loupe	891	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	yellow	loupe	4840	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	0,205,0	loupe	695	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	0,205,0	porte	622	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	205,0,0	porte	622	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	blue	loupe	636	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	88,41,0	clavier	746	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	237,137,10	clavier	838	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	205,0,0	clavier	656	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	237,137,10	porte	935	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	Training	blue	porte	651	NULL	NULL	NULL	NULL	NULL	NULL		
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	205,0,0	pont	NULL	695	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	0,205,0	studio	NULL	360	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	blue	pont	NULL	637	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	88,41,0	studio	NULL	608	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	237,137,10	pont	NULL	623	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	205,0,0	robe	NULL	613	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	0,205,0	chien	NULL	717	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	0,205,0	pont	NULL	583	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	237,137,10	robe	NULL	611	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	205,0,0	balcon	NULL	702	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	205,0,0	studio	NULL	472	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	blue	chien	NULL	712	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	yellow	robe	NULL	677	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	88,41,0	pont	NULL	670	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	0,205,0	balcon	NULL	708	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	0,205,0	robe	NULL	698	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	blue	balcon	NULL	687	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	yellow	chien	NULL	672	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	yellow	studio	NULL	460	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	yellow	train	NULL	626	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	blue	studio	NULL	389	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	yellow	balcon	NULL	591	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	88,41,0	train	NULL	615	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	237,137,10	studio	NULL	710	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	237,137,10	chien	NULL	447	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	88,41,0	robe	NULL	641	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	205,0,0	train	NULL	669	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	blue	robe	NULL	693	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	88,41,0	balcon	NULL	613	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	yellow	pont	NULL	352	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	0,205,0	train	NULL	621	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	237,137,10	train	NULL	630	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	blue	train	NULL	596	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	88,41,0	chien	NULL	575	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	237,137,10	balcon	NULL	810	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Neutral	Neutral1	205,0,0	chien	NULL	1243	1	E
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	88,41,0	bombe	NULL	964	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	blue	bombe	NULL	824	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	205,0,0	tumeur	NULL	458	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	yellow	mort	NULL	535	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	205,0,0	torture	NULL	544	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	237,137,10	mort	NULL	497	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	0,205,0	tumeur	NULL	401	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	yellow	haine	NULL	650	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	237,137,10	bombe	NULL	554	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	205,0,0	bombe	NULL	429	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	88,41,0	haine	NULL	554	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	blue	mort	NULL	766	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	205,0,0	misère	NULL	498	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	yellow	bombe	NULL	613	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	blue	misère	NULL	686	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	yellow	tumeur	NULL	559	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	blue	haine	NULL	621	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	237,137,10	torture	NULL	632	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	0,205,0	mort	NULL	747	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	237,137,10	misère	NULL	713	1	
1	1	21	right	female	normal	1	NULL	NULL	NULL	NULL	Emotionnal	Emotionnal1	88,41,0	mort	NULL	656	1	
