SubjName	TrialN	WhichBlock	FaceCombination	FacesAcc	Accuracy	Lags	SOA	Tilt4T1	Tilt4T2	TimeofDay
301	1	1	3	1	1	10	1.167	-15	15	36526.65
301	2	1	6	1	1	1	0.1167	-15	-15	36530.633
301	3	1	1	1	1	2	0.2334	-15	-15	36534.816
301	4	1	6	1	1	3	0.3501	-15	-15	36539.115
301	5	1	2	1	1	3	0.3501	-15	-15	36542.982
301	6	1	3	1	1	10	1.167	15	-15	36547.748
301	7	1	3	1	0	2	0.2334	-15	-15	36551.716
301	8	1	2	1	1	5	0.5835	-15	15	36555.715
301	9	1	1	1	1	5	0.5835	15	15	36559.832
301	10	1	3	1	1	5	0.5835	15	-15	36563.731
301	11	1	2	1	1	1	0.1167	15	-15	36568.132
301	12	1	1	1	1	2	0.2334	-15	-15	36571.915
301	13	1	2	1	1	1	0.1167	-15	15	36575.681
301	14	1	2	1	0	2	0.2334	-15	15	36579.548
301	15	1	1	1	1	2	0.2334	15	-15	36583.348
301	16	1	1	1	1	10	1.167	15	-15	36588.598
301	17	1	5	1	1	5	0.5835	-15	-15	36595.398
301	18	1	1	1	1	3	0.3501	-15	-15	36599.197
301	19	1	3	1	1	1	0.1167	-15	-15	36603.498
301	20	1	4	1	1	10	1.167	15	-15	36609.797
301	21	1	3	0	1	1	0.1167	15	15	36613.514
301	22	1	3	0	0	3	0.3501	-15	15	36619.898
301	23	1	3	1	1	5	0.5835	15	15	36625.864
301	24	1	4	0	0	10	1.167	-15	15	36629.83
301	25	1	2	0	0	10	1.167	-15	15	36639.231
301	26	1	4	0	1	10	1.167	15	-15	36642.947
301	27	1	2	1	1	1	0.1167	-15	-15	36647.063
301	28	1	4	0	0	8	0.9336	15	-15	36650.28
301	29	1	6	1	1	10	1.167	-15	-15	36655.497
301	30	1	2	1	1	8	0.9336	-15	-15	36659.18
301	31	1	1	1	1	8	0.9336	-15	15	36662.797
301	32	1	1	0	1	10	1.167	-15	-15	36667.879
301	33	1	4	1	1	8	0.9336	15	15	36671.73
301	34	1	6	1	1	3	0.3501	-15	-15	36675.247
301	35	1	4	0	0	10	1.167	-15	15	36678.796
301	36	1	4	0	0	1	0.1167	-15	15	36683.629
301	37	1	4	1	1	3	0.3501	15	15	36686.996
301	38	1	4	0	0	1	0.1167	-15	15	36690.746
301	39	1	3	0	1	2	0.2334	-15	-15	36694.863
301	40	1	3	1	1	2	0.2334	-15	-15	36698.162
301	41	1	4	0	1	2	0.2334	-15	-15	36701.246
301	42	1	1	0	1	8	0.9336	15	-15	36704.945
301	43	1	3	1	1	1	0.1167	15	-15	36709.779
301	44	1	5	1	1	10	1.167	-15	15	36713.512
301	45	1	6	0	1	2	0.2334	-15	15	36717.512
301	46	1	3	0	1	3	0.3501	15	-15	36720.795
301	47	1	3	1	1	1	0.1167	15	-15	36724.463
301	48	1	2	1	1	8	0.9336	15	15	36728.012
301	49	1	5	1	1	3	0.3501	-15	-15	36731.679
301	50	1	4	1	1	2	0.2334	15	-15	36735.195
301	51	1	1	1	1	1	0.1167	-15	15	36738.612
301	52	1	1	1	1	8	0.9336	15	-15	36742.212
301	53	1	4	1	0	1	0.1167	15	15	36746.112
301	54	1	1	0	1	8	0.9336	15	15	36750.728
301	55	1	2	1	1	2	0.2334	-15	-15	36754.545
301	56	1	3	1	1	2	0.2334	15	-15	36757.729
301	57	1	1	1	1	1	0.1167	15	-15	36760.895
301	58	1	4	1	1	1	0.1167	15	15	36764.162
301	59	1	4	0	0	3	0.3501	-15	15	36767.311
301	60	1	4	1	1	5	0.5835	-15	15	36771.744
301	61	2	4	1	1	8	0.9336	15	-15	36791.11
301	62	2	2	1	1	3	0.3501	-15	15	36794.745
301	63	2	3	1	1	3	0.3501	-15	-15	36797.994
301	64	2	4	1	1	3	0.3501	-15	15	36801.061
301	65	2	4	1	1	10	1.167	15	-15	36804.027
301	66	2	3	1	1	5	0.5835	-15	15	36808.36
301	67	2	3	1	0	10	1.167	15	-15	36811.628
301	68	2	5	1	1	8	0.9336	-15	-15	36815.727
301	69	2	3	1	1	5	0.5835	-15	15	36818.844
301	70	2	2	0	1	8	0.9336	15	15	36822.094
301	71	2	4	0	1	3	0.3501	15	15	36825.543
301	72	2	2	1	0	1	0.1167	-15	15	36829.344
301	73	2	2	1	0	3	0.3501	-15	15	36832.71
301	74	2	2	1	1	1	0.1167	-15	15	36836.127
301	75	2	6	1	1	5	0.5835	-15	-15	36839.293
301	76	2	2	1	1	10	1.167	-15	15	36842.793
301	77	2	5	1	1	1	0.1167	-15	-15	36846.16
301	78	2	3	0	1	3	0.3501	15	15	36849.577
301	79	2	2	1	1	8	0.9336	15	15	36854.477
301	80	2	4	1	1	2	0.2334	15	15	36857.826
301	81	2	1	1	1	1	0.1167	-15	-15	36862.493
301	82	2	2	1	0	10	1.167	15	-15	36865.56
301	83	2	4	1	0	3	0.3501	-15	15	36869.826
301	84	2	1	1	1	3	0.3501	15	15	36874.976
301	85	2	3	1	1	3	0.3501	15	15	36878.259
301	86	2	2	1	1	5	0.5835	-15	-15	36881.51
301	87	2	4	1	1	2	0.2334	15	15	36884.61
301	88	2	2	0	1	1	0.1167	-15	-15	36887.959
301	89	2	1	1	0	1	0.1167	-15	-15	36891.059
301	90	2	4	1	1	3	0.3501	-15	-15	36894.059
301	91	2	5	1	1	1	0.1167	-15	15	36898.176
301	92	2	4	1	1	5	0.5835	-15	-15	36901.609
301	93	2	5	1	1	2	0.2334	-15	15	36904.776
301	94	2	4	1	1	3	0.3501	-15	-15	36911.209
301	95	2	1	1	1	8	0.9336	15	15	36914.925
301	96	2	3	1	1	1	0.1167	15	-15	36918.342
301	97	2	4	1	1	3	0.3501	15	15	36921.342
301	98	2	2	1	0	10	1.167	15	-15	36924.659
301	99	2	1	1	1	8	0.9336	-15	-15	36931.341
301	100	2	2	1	1	10	1.167	-15	15	36935.175
301	101	2	1	1	1	10	1.167	-15	-15	36940.892
301	102	2	6	1	1	5	0.5835	-15	-15	36945.491
301	103	2	2	1	0	10	1.167	-15	-15	36952.609
301	104	2	1	1	1	3	0.3501	15	15	36956.358
301	105	2	5	1	1	1	0.1167	-15	15	36962.191
301	106	2	2	1	1	2	0.2334	-15	15	36965.941
301	107	2	4	1	1	3	0.3501	-15	15	36970.258
