SubName;WhichTrial;WhichBlock;FaceCombination;FacesCorrect;AllAnswers;RTimeWS;RTimeHM;HLcol;HLRAWcol;AllLags;AllSOAs;Tilt4T1;Tilt4T2;STime
101;1;1;2;1;0;2.074086945;4.361167057;1;1;1;1;8;0.9336;12
101;2;1;3;1;1;2.110323712;2.629245601;1;1;1;1;1;0.1167;-12
101;3;1;2;0;0;2.406669252;2.847662987;1;1;1;1;3;0.3501;-12
101;4;1;5;1;1;2.58028523;3.187312363;1;1;1;1;8;0.9336;-12
101;5;1;3;0;1;0.632607779;1.960631771;1;1;1;1;2;0.2334;-12
101;6;1;4;0;1;1.14657168;1.737580231;1;1;1;1;10;1.167;-12
101;7;1;1;0;0;0.645812014;0.887846882;1;1;1;1;5;0.5835;12
101;8;1;1;0;1;0.606090831;1.597123957;1;1;1;1;3;0.3501;12
101;9;1;2;0;0;0.83565137;1.251340615;1;1;1;1;3;0.3501;12
101;10;1;3;0;0;0.556245996;0.963247082;1;1;1;1;3;0.3501;-12
101;11;1;2;0;1;0.791093157;1.253372897;1;1;1;1;1;0.1167;12
101;12;1;2;0;0;0.532650594;0.950667156;1;1;1;1;3;0.3501;-12
101;13;1;4;0;0;1.13629059;1.60127588;1;1;1;1;3;0.3501;12
101;14;1;4;0;0;0.686779573;1.140819466;1;1;1;1;3;0.3501;-12
101;15;1;2;1;0;1.248046596;1.878069463;1;1;1;1;8;0.9336;12
101;16;1;1;0;1;2.335515693;2.796510017;1;1;1;1;3;0.3501;12
101;17;1;3;0;0;0.550979534;0.966983973;1;1;1;1;1;0.1167;-12
101;18;1;4;0;1;0.655857267;1.042885924;1;1;1;1;2;0.2334;-12
101;19;1;6;1;0;0.538047614;1.016096661;1;1;1;1;5;0.5835;-12
101;20;1;4;0;0;0.530930946;1.440964296;1;1;1;1;3;0.3501;-12
101;21;1;2;0;0;0.588212123;0.986238015;1;1;1;1;2;0.2334;-12
101;22;1;1;1;0;1.837508936;1.995509523;1;1;1;1;3;0.3501;-12
101;23;1;3;0;1;0.551039053;1.158066506;1;1;1;1;3;0.3501;12
101;24;1;2;0;1;0.647665419;1.21768684;1;1;1;1;3;0.3501;-12
101;25;1;6;1;1;0.610545788;1.04955268;1;1;1;1;2;0.2334;-12
101;26;1;3;0;0;0.481038432;0.936028707;1;1;1;1;2;0.2334;12
101;27;1;6;1;1;0.716363344;1.219334169;1;1;1;1;1;0.1167;-12
101;28;1;2;0;0;0.768124944;1.184206821;1;1;1;1;2;0.2334;12
101;29;1;6;1;1;0.446395235;0.897403824;1;1;1;1;3;0.3501;-12
101;30;1;2;1;0;2.251669889;4.767095843;1;1;1;1;10;1.167;-12
101;31;1;3;0;1;0.616097045;2.074169823;1;1;1;1;2;0.2334;12
101;32;1;1;0;1;0.608064874;1.022121189;1;1;1;1;2;0.2334;12
101;33;1;4;0;0;0.497913639;0.832931421;1;1;1;1;3;0.3501;12
101;34;1;3;0;1;0.506217485;1.118178607;1;1;1;1;1;0.1167;-12
101;35;1;2;0;1;0.571039002;1.294061102;1;1;1;1;1;0.1167;-12
101;36;1;4;0;0;1.177364388;2.106393545;1;1;1;1;3;0.3501;12
